id,word,part_of_speech,cefr_level,phonetic_uk,phonetic_us,thai_meaning,example_sentence,example_translation,category,distractors,audio_key,note,raw_entry
1062,compete,v.,A2,,,,,,General,,compete,,compete v.
1063,competition,n.,A2,,,,,,General,,competition,,competition n.
1064,complain,v.,A2,,,,,,General,,complain,,complain v.
1065,completely,adv.,A2,,,,,,General,,completely,,completely adv.
1066,condition,n.,A2,,,,,,General,,condition,,condition n.
1067,conference,n.,A2,,,,,,General,,conference,,conference n.
1068,connect,v.,A2,,,,,,General,,connect,,connect v.
1069,connected,adj.,A2,,,,,,General,,connected,,connected adj.
1070,consider,v.,A2,,,,,,General,,consider,,consider v.
1071,contain,v.,A2,,,,,,General,,contain,,contain v.
1072,context,n.,A2,,,,,,General,,context,,context n.
1073,continent,n.,A2,,,,,,General,,continent,,continent n.
1074,continue,v.,A2,,,,,,General,,continue,,continue v.
1075,control,"n., v.",A2,,,,,,General,,control,,"control n., v."
1076,cook,n.,A2,,,,,,General,,cook,,cook n.
1077,cooker,n.,A2,,,,,,General,,cooker,,cooker n.
1078,copy,"n., v.",A2,,,,,,General,,copy,,"copy n., v."
1079,corner,n.,A2,,,,,,General,,corner,,corner n.
1080,correctly,adv.,A2,,,,,,General,,correctly,,correctly adv.
1081,count,v.,A2,,,,,,General,,count,,count v.
1082,couple,n.,A2,,,,,,General,,couple,,couple n.
1083,cover,v.,A2,,,,,,General,,cover,,cover v.
1084,crazy,adj.,A2,,,,,,General,,crazy,,crazy adj.
1085,creative,adj.,A2,,,,,,General,,creative,,creative adj.
1086,credit,n.,A2,,,,,,General,,credit,,credit n.
1087,crime,n.,A2,,,,,,General,,crime,,crime n.
1088,criminal,n.,A2,,,,,,General,,criminal,,criminal n.
1089,cross,"v., n.",A2,,,,,,General,,cross,,"cross v., n."
1090,crowd,n.,A2,,,,,,General,,crowd,,crowd n.
1091,crowded,adj.,A2,,,,,,General,,crowded,,crowded adj.
1092,cry,v.,A2,,,,,,General,,cry,,cry v.
1093,cupboard,n.,A2,,,,,,General,,cupboard,,cupboard n.
